user,joined_timestamp,num_auctions_engaged
buyer,2016-01-03 02:20:27,22
buyer,2016-01-03 07:57:13,17
buyer,2016-01-05 00:43:05,25
buyer,2016-01-05 03:22:16,20
buyer,2016-01-05 06:15:42,18
buyer,2016-01-05 06:22:35,23
buyer,2016-01-07 06:41:25,23
buyer,2016-01-07 07:17:50,19
buyer,2016-01-09 02:25:16,21
buyer,2016-01-11 11:44:05,14
seller,2016-01-12 06:32:01,16
seller,2016-01-13 02:01:58,18
seller,2016-01-13 05:30:56,17
seller,2016-01-15 03:25:37,16
buyer,2016-01-15 03:27:01,19
buyer,2016-01-15 05:39:21,21
buyer,2016-01-15 05:43:22,22
buyer,2016-01-16 03:02:03,21
buyer,2016-01-16 03:32:19,24
buyer,2016-01-16 04:57:33,16
buyer,2016-01-17 10:04:43,20
buyer,2016-01-19 01:09:40,19
buyer,2016-01-21 01:20:21,21
seller,2016-01-21 06:24:54,14
buyer,2016-01-22 07:08:44,24
buyer,2016-01-24 01:31:49,19
buyer,2016-01-26 06:20:40,23
buyer,2016-01-26 10:54:04,15
buyer,2016-01-27 01:26:50,20
buyer,2016-01-27 04:46:55,24
buyer,2016-01-28 00:07:10,19
buyer,2016-01-28 02:20:11,22
buyer,2016-01-28 02:30:07,24
buyer,2016-01-29 04:31:00,24
seller,2016-01-29 04:43:26,15
buyer,2016-01-29 04:47:32,20
seller,2016-01-29 04:49:06,18
buyer,2016-01-29 05:12:51,20
buyer,2016-01-29 05:41:50,23
seller,2016-01-29 05:51:22,15
buyer,2016-01-30 00:52:04,21
buyer,2016-01-30 01:50:15,19
seller,2016-01-30 04:06:53,12
buyer,2016-01-30 07:21:42,14
buyer,2016-02-02 02:24:07,21
buyer,2016-02-02 02:38:26,18
buyer,2016-02-02 04:21:06,20
buyer,2016-02-02 05:47:34,21
buyer,2016-02-02 06:10:54,23
buyer,2016-02-02 21:58:17,21
buyer,2016-02-03 04:02:28,23
buyer,2016-02-03 04:41:04,16
buyer,2016-02-03 06:18:24,16
seller,2016-02-03 06:22:06,12
buyer,2016-02-04 03:39:00,19
seller,2016-02-04 04:46:55,15
seller,2016-02-04 05:27:09,15
seller,2016-02-05 03:04:50,15
buyer,2016-02-05 07:55:37,22
seller,2016-02-06 02:36:43,14
seller,2016-02-06 03:02:27,13
buyer,2016-02-06 03:16:36,20
buyer,2016-02-06 14:04:18,21
buyer,2016-02-09 02:35:00,20
seller,2016-02-09 02:49:54,15
buyer,2016-02-09 04:12:15,13
buyer,2016-02-09 04:20:50,27
buyer,2016-02-09 04:30:32,17
buyer,2016-02-09 05:22:52,21
buyer,2016-02-09 05:35:55,23
seller,2016-02-10 03:55:33,16
buyer,2016-02-10 05:21:36,22
buyer,2016-02-10 05:33:13,23
seller,2016-02-10 06:39:21,12
seller,2016-02-10 06:57:35,15
buyer,2016-02-12 02:44:27,27
buyer,2016-02-12 05:31:41,21
buyer,2016-02-12 08:33:09,17
buyer,2016-02-13 00:31:18,22
buyer,2016-02-16 04:45:18,21
buyer,2016-02-16 05:27:46,22
buyer,2016-02-16 05:30:06,10
buyer,2016-02-16 06:33:23,24
seller,2016-02-16 07:44:17,11
buyer,2016-02-18 04:39:05,21
buyer,2016-02-18 07:17:24,19
seller,2016-02-19 01:41:49,17
buyer,2016-02-19 02:55:05,23
buyer,2016-02-19 18:39:59,21
buyer,2016-02-21 07:19:52,25
buyer,2016-02-23 02:17:09,21
buyer,2016-02-23 02:48:40,19
buyer,2016-02-23 05:51:32,17
buyer,2016-02-23 07:01:57,19
buyer,2016-02-23 09:17:41,23
buyer,2016-02-24 02:29:41,20
buyer,2016-02-24 06:03:03,19
buyer,2016-02-25 07:09:10,22
buyer,2016-02-26 05:35:09,17
buyer,2016-02-26 07:02:28,19
buyer,2016-02-26 08:24:00,21
buyer,2016-02-27 05:12:39,22
buyer,2016-02-27 05:40:36,22
buyer,2016-02-28 10:59:44,21
seller,2016-03-01 04:48:37,12
buyer,2016-03-01 06:09:28,23
buyer,2016-03-01 07:14:12,16
buyer,2016-03-01 08:24:34,17
buyer,2016-03-02 00:51:27,22
buyer,2016-03-02 01:53:07,15
buyer,2016-03-02 05:11:43,21
buyer,2016-03-03 04:14:24,13
buyer,2016-03-03 04:32:38,17
buyer,2016-03-03 05:43:49,21
buyer,2016-03-03 08:22:09,18
buyer,2016-03-04 04:47:32,18
buyer,2016-03-04 20:39:25,21
buyer,2016-03-05 04:44:41,13
buyer,2016-03-05 08:19:59,19
buyer,2016-03-05 12:42:36,20
buyer,2016-03-05 13:07:02,18
buyer,2016-03-06 08:29:37,17
buyer,2016-03-08 00:39:42,16
seller,2016-03-08 02:19:39,17
buyer,2016-03-08 04:01:42,13
buyer,2016-03-08 07:14:25,20
buyer,2016-03-08 08:06:35,17
